Unnamed: 0,GLOBALEVENTID,SQLDATE,MonthYear,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,domain,Actor1Type1Code_filled,Actor2Type1Code_filled
27965,1234624134,20250327,202503,,,,SCHOOL,,EDU,0,43,43,4,1,2.8,10,1,10,5.85585585585586,Benin,BN,BN,9.5,2.25,https://www.teleprensa.com/articulo/malaga/carmen-castillo-destaca-que-715-profesorado-andaluz-ha-acreditado-competencia-digital/202503271207332073944.html,teleprensa.com,UNKNOWN,EDU
27966,1234616278,20250327,202503,,,,GHANA,GHA,,1,42,42,4,1,1.9,8,1,8,-2.66497461928934,Benin,BN,BN,9.5,2.25,https://www.premiumtimesng.com/entertainment/nollywood/784045-how-my-nollywood-colleagues-blackmailed-wrecked-my-career-hanks.html,premiumtimesng.com,UNKNOWN,STATE
27967,1234732098,20250327,202503,,,,BENIN,BEN,,0,42,42,4,1,1.9,4,1,4,5.32241555783009,Benin,BN,BN,9.5,2.25,https://www.theslateonline.com/article/2025/03/su-alumni-share-peace-corps-experiences,theslateonline.com,UNKNOWN,STATE
27968,1234660964,20250327,202503,,,,HOSPITAL,,HLH,0,42,42,4,1,1.9,10,1,10,-14.2857142857143,Benin,BN,BN,9.5,2.25,https://promptnewsonline.com/edo-police-arrest-man-for-allegedly-killing-brother-in-violent-dispute/,promptnewsonline.com,UNKNOWN,HLH
27969,1234639578,20250327,202503,COUNSELOR,,JUD,SCHOOL,,EDU,1,42,42,4,1,1.9,6,1,6,5.26905829596412,"Cartama, AndalucíSP, Spain",SP,SP51,36.7116,-4.63011,https://www.laopiniondemalaga.es/malaga/2025/03/27/junta-andalucia-google-formar-profesorado-ciberseguridad-inteligencia-artificial-flor-de-azahar-115749044.html,laopiniondemalaga.es,JUD,EDU
27970,1234639579,20250327,202503,COUNSELOR,,JUD,SCHOOL,,EDU,1,42,42,4,1,1.9,2,1,2,5.26905829596412,Benin,BN,BN,9.5,2.25,https://www.laopiniondemalaga.es/malaga/2025/03/27/junta-andalucia-google-formar-profesorado-ciberseguridad-inteligencia-artificial-flor-de-azahar-115749044.html,laopiniondemalaga.es,JUD,EDU
27974,1234615114,20250327,202503,BENIN,BEN,,HIKER,,CVL,1,42,42,4,1,1.9,10,1,10,3.6036036036036,Benin,BN,BN,9.5,2.25,https://www.larepubliquedespyrenees.fr:443/pyrenees-atlantiques/nay-et-est-bearn/loubajac-65-une-marche-en-soutien-aux-agricultrices-du-benin-23777854.php,larepubliquedespyrenees.fr:443,STATE,CVL
27975,1234615275,20250327,202503,HIKER,,CVL,BENIN,BEN,,1,43,43,4,1,2.8,10,1,10,3.6036036036036,Benin,BN,BN,9.5,2.25,https://www.larepubliquedespyrenees.fr:443/pyrenees-atlantiques/nay-et-est-bearn/loubajac-65-une-marche-en-soutien-aux-agricultrices-du-benin-23777854.php,larepubliquedespyrenees.fr:443,CVL,STATE
27976,1234707576,20250327,202503,CHIEF EXECUTIVE,,GOV,LAGOS,NGA,,1,10,10,1,1,0.0,6,1,6,1.7156862745098,Benin,BN,BN,9.5,2.25,https://www.legit.ng/business-economy/money/1647408-firstbanks-digital-xperience-centre-open-admiralty-lekki/,legit.ng,GOV,UNKNOWN
27977,1234709848,20250327,202503,NAIJA,NGA,,GOVERNMENT,BEN,GOV,1,80,80,8,2,5.0,5,1,5,3.20987654320988,Benin,BN,BN,9.5,2.25,https://naija247news.com/2025/03/27/gov-okpebholo-flags-off-2025-farming-season-allocates-n70-billion-to-agriculture/,naija247news.com,UNKNOWN,GOV
27978,1234711355,20250327,202503,BENIN,BEN,,COMMUNITY,,CVL,1,42,42,4,1,1.9,9,1,9,5.83657587548638,Benin,BN,BN,9.5,2.25,https://blueprint.ng/oba-of-benin-honours-mum-with-traditional-dance-display/,blueprint.ng,STATE,CVL
27979,1234711356,20250327,202503,BENIN,BEN,,COMMUNITY,,CVL,1,43,43,4,1,2.8,9,1,9,5.83657587548638,Benin,BN,BN,9.5,2.25,https://blueprint.ng/oba-of-benin-honours-mum-with-traditional-dance-display/,blueprint.ng,STATE,CVL
27980,1234711357,20250327,202503,BENIN,BEN,,NEWSPAPER,,MED,1,51,51,5,1,3.4,10,1,10,5.83657587548638,Benin,BN,BN,9.5,2.25,https://blueprint.ng/oba-of-benin-honours-mum-with-traditional-dance-display/,blueprint.ng,STATE,MED
27981,1234711358,20250327,202503,BENIN,BEN,,MUSLIM,,CVL,1,42,42,4,1,1.9,9,1,9,5.83657587548638,Benin,BN,BN,9.5,2.25,https://blueprint.ng/oba-of-benin-honours-mum-with-traditional-dance-display/,blueprint.ng,STATE,CVL
27982,1234711359,20250327,202503,BENIN,BEN,,MUSLIM,,CVL,1,43,43,4,1,2.8,9,1,9,5.83657587548638,Benin,BN,BN,9.5,2.25,https://blueprint.ng/oba-of-benin-honours-mum-with-traditional-dance-display/,blueprint.ng,STATE,CVL
27983,1234711360,20250327,202503,BENIN,BEN,,BENIN CITY,NGA,,1,51,51,5,1,3.4,10,1,10,5.83657587548638,Benin,BN,BN,9.5,2.25,https://blueprint.ng/oba-of-benin-honours-mum-with-traditional-dance-display/,blueprint.ng,STATE,UNKNOWN
27984,1234711549,20250327,202503,COMMUNITY,,CVL,BENIN,BEN,,1,42,42,4,1,1.9,9,1,9,5.83657587548638,Benin,BN,BN,9.5,2.25,https://blueprint.ng/oba-of-benin-honours-mum-with-traditional-dance-display/,blueprint.ng,CVL,STATE
27985,1234711550,20250327,202503,COMMUNITY,,CVL,BENIN,BEN,,1,43,43,4,1,2.8,9,1,9,5.83657587548638,Benin,BN,BN,9.5,2.25,https://blueprint.ng/oba-of-benin-honours-mum-with-traditional-dance-display/,blueprint.ng,CVL,STATE
27986,1234711551,20250327,202503,COMMUNITY,,CVL,MUSLIM,,CVL,1,42,42,4,1,1.9,9,1,9,5.83657587548638,Benin,BN,BN,9.5,2.25,https://blueprint.ng/oba-of-benin-honours-mum-with-traditional-dance-display/,blueprint.ng,CVL,CVL
27987,1234711552,20250327,202503,COMMUNITY,,CVL,MUSLIM,,CVL,1,43,43,4,1,2.8,9,1,9,5.83657587548638,Benin,BN,BN,9.5,2.25,https://blueprint.ng/oba-of-benin-honours-mum-with-traditional-dance-display/,blueprint.ng,CVL,CVL
27988,1234712187,20250327,202503,MUSLIM,,CVL,BENIN,BEN,,1,42,42,4,1,1.9,9,1,9,5.83657587548638,Benin,BN,BN,9.5,2.25,https://blueprint.ng/oba-of-benin-honours-mum-with-traditional-dance-display/,blueprint.ng,CVL,STATE
27989,1234712188,20250327,202503,MUSLIM,,CVL,BENIN,BEN,,1,43,43,4,1,2.8,9,1,9,5.83657587548638,Benin,BN,BN,9.5,2.25,https://blueprint.ng/oba-of-benin-honours-mum-with-traditional-dance-display/,blueprint.ng,CVL,STATE
27990,1234712189,20250327,202503,MUSLIM,,CVL,COMMUNITY,,CVL,1,42,42,4,1,1.9,9,1,9,5.83657587548638,Benin,BN,BN,9.5,2.25,https://blueprint.ng/oba-of-benin-honours-mum-with-traditional-dance-display/,blueprint.ng,CVL,CVL
27991,1234712190,20250327,202503,MUSLIM,,CVL,COMMUNITY,,CVL,1,43,43,4,1,2.8,9,1,9,5.83657587548638,Benin,BN,BN,9.5,2.25,https://blueprint.ng/oba-of-benin-honours-mum-with-traditional-dance-display/,blueprint.ng,CVL,CVL
27992,1234702101,20250327,202503,GHANA,GHA,,WEBSITE,,MED,1,43,43,4,1,2.8,5,1,5,1.00502512562814,Benin,BN,BN,9.5,2.25,https://newsghana.com.gh/west-africas-internet-resilience-gains-momentum-as-benin-senegal-lead-growth/,newsghana.com.gh,STATE,MED
27993,1234702501,20250327,202503,NIGER,NER,,AFRICA,AFR,,1,120,120,12,3,-4.0,2,1,2,1.00502512562814,Benin,BN,BN,9.5,2.25,https://newsghana.com.gh/west-africas-internet-resilience-gains-momentum-as-benin-senegal-lead-growth/,newsghana.com.gh,STATE,STATE
27994,1234657987,20250327,202503,BANK,,BUS,NIGER,NER,,0,51,51,5,1,3.4,10,1,10,3.11284046692607,Benin,BN,BN,9.5,2.25,https://fr.apanews.net/integration/la-boad-valide-le-financement-de-15-projets-pour-391923-milliards-fcfa/,fr.apanews.net,BUS,STATE
27995,1234661317,20250327,202503,POLICE,,COP,BENIN,BEN,,1,173,173,17,4,-5.0,3,1,3,-14.2857142857143,Benin,BN,BN,9.5,2.25,https://promptnewsonline.com/edo-police-arrest-man-for-allegedly-killing-brother-in-violent-dispute/,promptnewsonline.com,COP,STATE
27996,1234661318,20250327,202503,POLICE,,COP,BENIN,BEN,,1,1823,182,18,4,-10.0,2,1,2,-14.2857142857143,Benin,BN,BN,9.5,2.25,https://promptnewsonline.com/edo-police-arrest-man-for-allegedly-killing-brother-in-violent-dispute/,promptnewsonline.com,COP,STATE
27997,1234661334,20250327,202503,POLICE,,COP,BENIN CITY,NGA,,1,173,173,17,4,-5.0,10,1,10,-14.2857142857143,Benin,BN,BN,9.5,2.25,https://promptnewsonline.com/edo-police-arrest-man-for-allegedly-killing-brother-in-violent-dispute/,promptnewsonline.com,COP,UNKNOWN
27998,1234614959,20250327,202503,,,,BENIN,BEN,AGR,1,51,51,5,1,3.4,10,1,10,3.6036036036036,France,FR,FR,46.0,2.0,https://www.larepubliquedespyrenees.fr:443/pyrenees-atlantiques/nay-et-est-bearn/loubajac-65-une-marche-en-soutien-aux-agricultrices-du-benin-23777854.php,larepubliquedespyrenees.fr:443,UNKNOWN,AGR
28000,1234702502,20250327,202503,NIGER,NER,,AFRICA,AFR,,1,120,120,12,3,-4.0,3,1,3,1.00502512562814,Benin,BN,BN,9.5,2.25,https://newsghana.com.gh/west-africas-internet-resilience-gains-momentum-as-benin-senegal-lead-growth/,newsghana.com.gh,STATE,STATE
28001,1231534552,20250312,202503,VILLAGE,,CVL,,,,0,10,10,1,1,0.0,3,1,3,1.34952766531714,"Borgou, Borgou, Benin",BN,BN10,9.75,2.75,https://www.maravipost.com/benin-african-development-fund-helps-women-in-shea-industry-build-economic-and-financial-resistance/,maravipost.com,CVL,UNKNOWN
28002,1231594422,20250312,202503,AFRICA,AFR,,,,,1,42,42,4,1,1.9,10,1,10,-0.35618878005342,Benin,BN,BN,9.5,2.25,https://lequotidien.sn/etre-une-femme-africaine-en-2025/,lequotidien.sn,STATE,UNKNOWN
28003,1231599854,20250312,202503,BUSINESS,,BUS,,,,1,10,10,1,1,0.0,10,1,10,1.76100628930817,Benin,BN,BN,9.5,2.25,http://www.24haubenin.info/?Le-Benin-a-l-Expo-universelle-Osaka-2025,24haubenin.info,BUS,UNKNOWN
28004,1231599834,20250312,202503,BENIN,BEN,,,,,1,43,43,4,1,2.8,10,1,10,1.76100628930817,Benin,BN,BN,9.5,2.25,http://www.24haubenin.info/?Le-Benin-a-l-Expo-universelle-Osaka-2025,24haubenin.info,STATE,UNKNOWN
28008,1231638180,20250312,202503,BRAZIL,BRA,,,,,1,42,42,4,1,1.9,10,1,10,1.82481751824818,Benin,BN,BN,9.5,2.25,https://fr.apanews.net/diplomacy/visite-du-ministre-bresilien-des-relations-exterieures-au-benin/,fr.apanews.net,UNKNOWN,UNKNOWN
28009,1231633009,20250312,202503,BENIN,BEN,,,,,0,13,13,1,1,0.4,4,1,4,4.8,Benin,BN,BN,9.5,2.25,https://www.tanzanianewsreports.com/senate-approves-restoration-of-aniocha-north-ii-state-constituency-delta/,tanzanianewsreports.com,STATE,UNKNOWN
28010,1231633010,20250312,202503,BENIN,BEN,LEG,,,,0,51,51,5,1,3.4,2,1,2,4.8,Benin,BN,BN,9.5,2.25,https://www.tanzanianewsreports.com/senate-approves-restoration-of-aniocha-north-ii-state-constituency-delta/,tanzanianewsreports.com,LEG,UNKNOWN
28011,1231634149,20250312,202503,SENATE PRESIDENT,,LEG,,,,0,51,51,5,1,3.4,6,1,6,4.8,Benin,BN,BN,9.5,2.25,https://www.tanzanianewsreports.com/senate-approves-restoration-of-aniocha-north-ii-state-constituency-delta/,tanzanianewsreports.com,LEG,UNKNOWN
28013,1231664657,20250312,202503,BANK,,BUS,,,,1,51,51,5,1,3.4,10,1,10,0.56603773584905,Benin,BN,BN,9.5,2.25,https://www.adiac-congo.com/content/port-de-pointe-noire-plus-de-150-milliards-fcfa-pour-lextension-du-terminal-conteneurs,adiac-congo.com,BUS,UNKNOWN
28018,1231525915,20250312,202503,BENIN,BEN,,,,,1,51,51,5,1,3.4,4,1,4,-3.33716915995397,Benin,BN,BN,9.5,2.25,https://thesun.ng/idahosa-hails-okpebholo-on-steps-to-deal-with-criminality/,thesun.ng,STATE,UNKNOWN
28020,1231526530,20250312,202503,TRIBUNAL,,JUD,,,,0,12,12,1,1,-0.4,6,1,6,-3.33716915995397,Benin,BN,BN,9.5,2.25,https://thesun.ng/idahosa-hails-okpebholo-on-steps-to-deal-with-criminality/,thesun.ng,JUD,UNKNOWN
28024,1231537963,20250312,202503,LAGOS,NGA,,,,,1,90,90,9,2,-2.0,10,1,10,-12.0087336244542,Benin,BN,BN,9.5,2.25,https://punchng.com/police-uncover-lasu-graduates-shallow-grave-arrest-fourth-suspect/,punchng.com,UNKNOWN,UNKNOWN
28025,1231503790,20250311,202503,AFRICA,AFR,,,,,1,14,14,1,1,0.0,10,1,10,-4.60448642266825,Benin,BN,BN,9.5,2.25,https://www.dw.com/es/cumbre-de-la-uni%C3%B3n-africana-esclavitud-y-r%C3%A9gimen-colonial-calificados-como-genocidio/a-71894082,dw.com,STATE,UNKNOWN
28026,1231522043,20250312,202503,MINIST,,GOV,,,,1,40,40,4,1,1.0,10,1,10,2.23463687150838,Benin,BN,BN,9.5,2.25,https://levenementprecis.com/?p=91971,levenementprecis.com,GOV,UNKNOWN
28027,1231522362,20250312,202503,POLITICAL PRISONER,,OPP,,,,0,841,84,8,2,7.0,2,1,2,-0.41736227045075,Benin,BN,BN,9.5,2.25,https://levenementprecis.com/?p=91960,levenementprecis.com,OPP,UNKNOWN
28028,1231522364,20250312,202503,POLITICAL PRISONER,,OPP,,,,0,841,84,8,2,7.0,20,1,8,-0.41736227045075,Benin,BN,BN,9.5,2.25,https://levenementprecis.com/?p=91960,levenementprecis.com,OPP,UNKNOWN
